n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.01,5.0,2,30,0.8944373892679047,9.492564196854993,0.6002270502618523,0.6002270502618523,2.614696977924957,0.328933408348306,0.7245531424700568
1000,3,0.01,5.0,2,50,0.8944373892679047,9.492564196854993,0.5146274448116858,0.5146274448116858,3.1686637139827165,0.4246355854679696,0.6661951767434414
1000,3,0.01,5.0,2,100,0.8944373892679047,9.492564196854993,0.9420070013003938,0.9420070013003938,8.520121476672722,0.05318383668131846,0.10244257505305605
1000,3,0.01,10.0,0,10,2.1600848596659037,23.591190740265375,0.3763021028772105,0.3763021028772105,1.3933132966465893,0.8257929075363213,0.9409392551657646
1000,3,0.01,10.0,0,30,2.1600848596659037,23.591190740265375,2.54792258549725,2.54792258549725,14.335209907361383,0.17954744884019624,0.39234903124690146
1000,3,0.01,10.0,0,50,2.1600848596659037,23.591190740265375,2.5873533447759027,2.5873533447759027,18.77121713794325,0.1978017128345985,0.2043124340517246
1000,3,0.01,10.0,0,100,2.1600848596659037,23.591190740265375,2.1654358330575296,2.1654358330575296,21.934835441815693,0.002477205174454841,0.07021075437377648
1000,3,0.01,10.0,1,10,2.186629044024305,23.67565527185168,0.4057483567119252,0.4057483567119252,1.642500717685829,0.8144411564363108,0.930624909898962
1000,3,0.01,10.0,1,30,2.186629044024305,23.67565527185168,0.5294966813354508,0.5294966813354508,2.7113481216081134,0.7578479610967953,0.8854794897765016
1000,3,0.01,10.0,1,50,2.186629044024305,23.67565527185168,2.7014401817565594,2.7014401817565594,14.451985115248785,0.23543597353156356,0.38958457752039694
1000,3,0.01,10.0,1,100,2.186629044024305,23.67565527185168,2.2720707572057846,2.2720707572057846,22.92672551966188,0.03907462649642269,0.03163290492239155
1000,3,0.01,10.0,2,10,2.202788337834508,23.474969597415352,0.47937948909994815,0.47937948909994815,1.9981028615666117,0.7823760545367645,0.9148836869298179
1000,3,0.01,10.0,2,30,2.202788337834508,23.474969597415352,0.6493188857736087,0.6493188857736087,3.3249090438267057,0.7052286528755033,0.858363648564947
1000,3,0.01,10.0,2,50,2.202788337834508,23.474969597415352,2.603181903613991,2.603181903613991,13.684813875078687,0.18176669946105553,0.4170465772792559
1000,3,0.01,10.0,2,100,2.202788337834508,23.474969597415352,0.45676890870297265,0.45676890870297265,2.5529941047553226,0.7926405815494703,0.8912461166707364
1000,3,0.02,2.0,0,10,0.668926440883736,6.047119721303887,0.6475389832762819,0.6475389832762819,2.4964470620213217,0.031972809415634046,0.5871675810838693
1000,3,0.02,2.0,0,30,0.668926440883736,6.047119721303887,0.5927690422775308,0.5927690422775308,2.7262137057083673,0.11385018434252903,0.5491715343250162
1000,3,0.02,2.0,0,50,0.668926440883736,6.047119721303887,0.6220559583466754,0.6220559583466754,3.149169123935581,0.07006821628270338,0.47922824930336366
1000,3,0.02,2.0,0,100,0.668926440883736,6.047119721303887,0.651733768920352,0.651733768920352,4.272649224870613,0.025701887251863374,0.2934406094494621
1000,3,0.02,2.0,1,10,0.6096939094021688,4.754850690421404,0.9348236608401902,0.9348236608401902,2.907253767406618,0.5332671795209913,0.3885709653799961
1000,3,0.02,2.0,1,30,0.6096939094021688,4.754850690421404,0.5439078709899232,0.5439078709899232,2.843563080866283,0.10790010757488404,0.4019658521360911
1000,3,0.02,2.0,1,50,0.6096939094021688,4.754850690421404,0.5946229379127811,0.5946229379127811,2.5655283270014135,0.024718914289574383,0.4604397710805845
1000,3,0.02,2.0,1,100,0.6096939094021688,4.754850690421404,0.6095633664063504,0.6095633664063504,3.610507556702975,0.0002141123501567967,0.24066857367860067
1000,3,0.02,2.0,2,10,0.619980694353103,5.711189635441723,1.2165399812916096,1.2165399812916096,4.351960795142196,0.9622223601026244,0.23799399548293937
1000,3,0.02,2.0,2,30,0.619980694353103,5.711189635441723,0.7726371763213454,0.7726371763213454,4.109151862928832,0.24622779928256713,0.28050859361615016
1000,3,0.02,2.0,2,50,0.619980694353103,5.711189635441723,0.5616209210534622,0.5616209210534622,3.068446994112443,0.09413159769520608,0.4627306760975521
